ID,Product Name,price,Filename,Category,Primary Object,Object Definition,Aesthetic Style,Mood & Feel,Price Tier,Dominant Colors,Color Palette,,link
1,"TheGoodLuck Wooden Floating Shelf for Wall , wall cabinet , wall shelves Particle Board Wall Shelf",1844,image_1.jpg,hall_room,Shelf,"A piece of furniture with horizontal boards attached to a wall, used for holding or displaying items",Minimalist,Serene & Calm,medium,"white, beige","white, beige, green",,https://github.com/sawantyash07/hall_room/blob/main/image_1.jpg
2,Nexwooddecor Wall Mounted Shelf Floating Hanging Shelf for Display and Room Organization Particle Board Wall Shelf,319,image_2.jpg,hall_room,Shelf,"a long, narrow, elevated structure attached to a wall, used for displaying decorative items",Cottagecore,Cosy & Inviting,medium,"brown, white","brown, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_2.jpg
3,PKVCREATION OM Mantra MDF Wooden Designer Hall Hanging for Home Decoration,236,image_3.jpg,hall_room,Sign,"A decorative sign with a string to hang it, featuring Sanskrit text in different colors.",Traditional,Serene & Calm,medium,"red, yellow","red, yellow, green, pink",,https://github.com/sawantyash07/hall_room/blob/main/image_3.jpg
4,PKVCREATION Wall Décor MDF Wooden Designer Hall Hanging for Home Decoration best for home,239,image_4.jpg,hall_room,Sign,A decorative sign with a message,Minimalist,Serene & Calm,medium,"blue, white","blue, white, orange, gray",,https://github.com/sawantyash07/hall_room/blob/main/image_4.jpg
5,"WOODSONS Floating Shelves for Wall, White Wood WallShelf Set of 3 24"" Wall Mounted Wooden Wall Shelf",798,image_5.jpg,hall_room,Shelf,A horizontal structure attached to a wall for holding objects,Modern,Serene & Calm,medium,"brown, black","brown, black, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_5.jpg
6,"My Dream Carts Mdf Wooden Cutting Ganesha Key Holder For Home,Office,Hall,Living Room Wood Key Holder",131,image_6.jpg,hall_room,Keyholder,A wooden board with hooks for hanging keys,Traditional,Cosy & Inviting,medium,"brown, silver","brown, silver, wooden",,https://github.com/sawantyash07/hall_room/blob/main/image_6.jpg
7,FSHANDICRAFTSS Wall Showpiece Room Hall Bedroom Stylisht Metal 40x40x5 Wall Art_F98,480,image_7.jpg,hall_room,Bed,A piece of furniture for sleeping or resting,Modern,Serene & Calm,medium,"Beige, Gray","Beige, Gray, Green",,https://github.com/sawantyash07/hall_room/blob/main/image_7.jpg
8,"HOUSE OF COMMON Krishna Mantra Wall Hangings Home Decor Items For Living Room, Bedroom",161,image_8.jpg,hall_room,Sign,A decorative hanging sign with Sanskrit text,Traditional,Cosy & Inviting,medium,"blue, orange","blue, orange, red, green, yellow, light blue",,https://github.com/sawantyash07/hall_room/blob/main/image_8.jpg
9,MACHINEX MODERN METAL WALL DECORE | FOR LIVING ROOM | BED ROOM | HALL | OFFICE,1544,image_9.jpg,hall_room,Mandala,"A decorative art piece, often used for spiritual or aesthetic purposes",Minimalist,Serene & Calm,medium,"black, white","black, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_9.jpg
10,FSHANDICRAFTSS Wall Showpiece Showpiece Room Hall Bedroom Stylisht Metal Wall Art_(209),480,image_10.jpg,hall_room,Decor,A decorative wall art piece featuring flowers,Modern,Serene & Calm,medium,"Black, White","Black, White, Brown",,https://github.com/sawantyash07/hall_room/blob/main/image_10.jpg
11,Ferrari Car Split Posters Set of 3 9x12 Inch Wall Art for Desk Home Office wall decoration home bedroom living room hall Gift Wall Paintings Stickers wallpaper Hostel Boys Girls. Paper Print,200,image_11.jpg,hall_room,Laptop,A portable personal computer designed for general use,Modern,Serene & Calm,medium,"white, black","white, black, brown",,https://github.com/sawantyash07/hall_room/blob/main/image_11.jpg
12,D Unique Home Decor Wood Key Holder,248,image_12.jpg,hall_room,Rack,a decorative wall-mounted rack with hooks,Cottagecore,Cosy & Inviting,medium,"black, brown","black, brown, beige",,https://github.com/sawantyash07/hall_room/blob/main/image_12.jpg
13,US DZIRE Multi-Purpose Wooden Wall Shelf for Living Room & Home Decor Particle Board Wall Shelf,629,image_13.jpg,hall_room,Shelves,"A shelving unit is a piece of furniture with horizontal surfaces, typically attached to a wall, used for displaying or storing items.",Minimalist,Serene & Calm,medium,"white, brown","white, brown, green",,https://github.com/sawantyash07/hall_room/blob/main/image_13.jpg
14,"ADFUSION Wall Stickers for Hall Room, Bed Room, Kitchen.",107,image_14.jpg,hall_room,Decoration,"A wall decoration featuring the face of Ganesha, a major deity in Hinduism",Minimalist,Serene & Calm,medium,"red, white","red, white, light brown",,https://github.com/sawantyash07/hall_room/blob/main/image_14.jpg
15,PUCHCHI Home Sweet Home Family Wall Decor Decorative Showpiece  -  4.1 cm,190,image_15.jpg,hall_room,Sign,a decorative wooden sign,Cottagecore,Cosy & Inviting,medium,"brown, beige","brown, beige, white",,https://github.com/sawantyash07/hall_room/blob/main/image_15.jpg
16,Aquire International 160 cm Boho Retro Floral Wall Decals Large Vintage Flower Colorful Hippie Flower Self Adhesive Sticker,100,image_16.jpg,hall_room,Flowers,decorative wall decals,Cottagecore,Cosy & Inviting,medium,"orange, blue","orange, blue, beige",,https://github.com/sawantyash07/hall_room/blob/main/image_16.jpg
17,"TheGoodLuck Wooden Floating Shelf for Wall , wall cabinet , wall shelves Particle Board Wall Shelf",1830,image_17.jpg,hall_room,Shelf,"A piece of furniture with horizontal boards or slabs on vertical supports, used for displaying or storing items",Modern,Serene & Calm,medium,"white, gray","white, gray, teal",,https://github.com/sawantyash07/hall_room/blob/main/image_17.jpg
18,Gift Me Bazar Krishna Wooden Wall Hanging For Living Room Bedroom Hall Home Office,293,image_18.jpg,hall_room,Sign,A decorative wall hanging sign featuring an image of Krishna playing the flute,Traditional,Serene & Calm,medium,"blue, orange","blue, orange, green, white",,https://github.com/sawantyash07/hall_room/blob/main/image_18.jpg
19,CRAFTY COTTAGE Wall Shelves for Home Decor Living Room & HALL Wall Mount MDF Wooden Wall Shelf Wooden Wall Shelf,103,image_19.jpg,hall_room,Shelf,a piece of furniture with a flat surface supported by a wall,Modern,Serene & Calm,medium,"black, white","black, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_19.jpg
20,"Wallcentre 4 Elements Round Shape Wall Hanging Art of Metal Material and Black Glossy Color for Living Room, Hall, Guest Room.",2299,image_20.jpg,hall_room,Couch,A piece of furniture for seating,Minimalist,Serene & Calm,medium,"gray, white","gray, white, black",,https://github.com/sawantyash07/hall_room/blob/main/image_20.jpg
21,"STASH HOUSE Lord Krishna MDF wall hanging with mantra for Living Room, Bedroom, Pooja Room",126,image_21.jpg,hall_room,Sign,"a decorative wall hanging with a series of colorful wooden slats, each with a different phrase written in a foreign language",Minimalist,Serene & Calm,medium,"white, yellow","yellow, red, orange, green, blue",,https://github.com/sawantyash07/hall_room/blob/main/image_21.jpg
22,Samadgour Modern Vertical 4 Tier Wall Mounted Display Rack Shelf MDF (Medium Density Fiber) Wall Shelf,488,image_22.jpg,hall_room,Shelf,"A piece of furniture with horizontal boards attached to a wall, used for storing or displaying items",Minimalist,Serene & Calm,medium,"white, black","white, black, green",,https://github.com/sawantyash07/hall_room/blob/main/image_22.jpg
23,"Wallcentre Om Metal Wall Hanging Art of Metal Material and Black Glossy Color for Living Room, Hall, Guest Room.",1375,image_23.jpg,hall_room,Om,"A symbol used in Hinduism, Buddhism, and other Eastern spiritual traditions to represent the universe and the sound of the cosmos.",Minimalist,Serene & Calm,medium,"black, white","black, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_23.jpg
24,"Wallcentre Super Mario Wall Hanging Art of Metal Material and Black Glossy Color for Living Room, Hall, Guest Room.",1632,image_24.jpg,hall_room,Mario,A decorative wall art featuring the iconic character Mario from the popular video game series.,Modern,Cosy & Inviting,medium,"black, white","black, white, brown",,https://github.com/sawantyash07/hall_room/blob/main/image_24.jpg
25,ARIVETS Wall Mounted Key Holder Organizer for Living Room and Office Wood Key Holder,148,image_25.jpg,hall_room,Keyholder,A wooden key holder with carved designs and hooks for hanging keys,Traditional,Cosy & Inviting,medium,"brown, gray","brown, gray, white",,https://github.com/sawantyash07/hall_room/blob/main/image_25.jpg
26,WOOD 49 18X6X3BP-529 Wooden Wall Shelf,606,image_26.jpg,hall_room,Vanity,A vanity is a piece of furniture used for grooming and makeup.,Modern,Cosy & Inviting,medium,"pink, white","pink, white, gold",,https://github.com/sawantyash07/hall_room/blob/main/image_26.jpg
27,"MKDecoratins Premium Wall Mounted Rack Living Room, Bedroom, Hall & Office Wooden Wall Shelf",276,image_27.jpg,hall_room,Shelf,a piece of furniture with multiple levels for storing or displaying items,Modern,Cosy & Inviting,medium,"brown, white","brown, white, black",,https://github.com/sawantyash07/hall_room/blob/main/image_27.jpg
28,"CLASSICART Premium Wall Mounted Rack Living Room, Bedroom, Hall & Office MDF (Medium Density Fiber) Wall Shelf",474,image_28.jpg,hall_room,Shelf,a piece of furniture with multiple levels for storing or displaying items,Modern,Cosy & Inviting,medium,"brown, white","brown, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_28.jpg
29,"APS Art Plus Store Beautiful Quote Wall Hanging For Wall Decore For Hall , Bedroom, Living Room",264,image_29.jpg,hall_room,Sign,A decorative wooden sign with a personalized message,Cottagecore,Cosy & Inviting,medium,"green, blue","green, blue, red, yellow",,https://github.com/sawantyash07/hall_room/blob/main/image_29.jpg
30,"Obita 18 inch Trendy Design Tree Wall Sticker For Living Room, Home Decorative, Hall EDD_1145 Self Adhesive Sticker",124,image_30.jpg,hall_room,Tree,A decorative tree sculpture,Maximalist,Cosy & Inviting,medium,"red, blue","red, blue, yellow",,https://github.com/sawantyash07/hall_room/blob/main/image_30.jpg
31,"MOKPLZ The 3D Wall Art TREE 3 PIECES WALL Suitable for Living Room,Foyer,Bedroom,Hall",451,image_31.jpg,hall_room,Tree,a decorative wall art piece featuring a tree silhouette,Modern,Serene & Calm,medium,"black, white","black, white, gray",,https://github.com/sawantyash07/hall_room/blob/main/image_31.jpg
32,"MOKPLZ The 3D Wall Art TREE 3 PIECES WALL Suitable for Living Room,Foyer,Bedroom,Hall",451,image_32.jpg,hall_room,Tree,a decorative wall art piece featuring a tree silhouette,Modern,Serene & Calm,medium,"black, white","black, white, gray",,https://github.com/sawantyash07/hall_room/blob/main/image_32.jpg
33,"MOKPLZ The 3D Wall Art TREE 3 PIECES WALL Suitable for Living Room,Foyer,Bedroom,Hall",451,image_33.jpg,hall_room,Tree,a decorative wall art piece featuring a tree silhouette,Modern,Serene & Calm,medium,"black, white","black, white, gray",,https://github.com/sawantyash07/hall_room/blob/main/image_33.jpg
34,"MOKPLZ The 3D Wall Art TREE 3 PIECES WALL Suitable for Living Room,Foyer,Bedroom,Hall",451,image_34.jpg,hall_room,Tree,a decorative metal art piece featuring a tree silhouette,Modern,Serene & Calm,medium,"black, white","black, white, gray",,https://github.com/sawantyash07/hall_room/blob/main/image_34.jpg
35,"MOKPLZ The 3D Wall Art TREE 3 PIECES WALL Suitable for Living Room,Foyer,Bedroom,Hall",451,image_35.jpg,hall_room,Tree,a decorative wall art piece featuring a tree silhouette,Modern,Serene & Calm,medium,"black, white","black, white, gray",,https://github.com/sawantyash07/hall_room/blob/main/image_35.jpg
36,"MOKPLZ The 3D Wall Art TREE 3 PIECES WALL Suitable for Living Room,Foyer,Bedroom,Hall",451,image_36.jpg,hall_room,Tree,a decorative wall art piece featuring a tree silhouette,Modern,Serene & Calm,medium,"black, white","black, white, gray",,https://github.com/sawantyash07/hall_room/blob/main/image_36.jpg
37,MANCHII Wall Décor MDF Wooden Designer Hall Hanging for Home Decoration best for home,242,image_37.jpg,hall_room,Sign,A decorative wall hanging with a religious message,Minimalist,Serene & Calm,medium,"white, blue","white, blue, orange, black",,https://github.com/sawantyash07/hall_room/blob/main/image_37.jpg
38,MANCHII OMantra MDF Wooden Designer Hall Hanging for Home Decoration,242,image_38.jpg,hall_room,Sign,A decorative wall hanging with a mantra written in Sanskrit,Minimalist,Serene & Calm,medium,"white, red","red, yellow, green, pink, white",,https://github.com/sawantyash07/hall_room/blob/main/image_38.jpg
39,MANCHII Wall Décor MDF Wooden Designer Hall Hanging for Home Decoration best for home,193,image_39.jpg,hall_room,Sign,A decorative sign with a message,Cottagecore,Serene & Calm,medium,"blue, white","blue, orange, gray",,https://github.com/sawantyash07/hall_room/blob/main/image_39.jpg
40,MANCHII Wooden Designer Hall Hanger for Home Decor Wall Hanging for home Room Decor,191,image_40.jpg,hall_room,Sign,A decorative hanging sign with inspirational quotes,Modern,Serene & Calm,cheap,"teal, black","teal, black, white",,https://github.com/sawantyash07/hall_room/blob/main/image_40.jpg
41,Nexwooddecor Wall Mounted Shelf Floating Hanging Shelf for Display and Room Organization Particle Board Wall Shelf,319,image_41.jpg,hall_room,Shelf,"a long, narrow, elevated structure attached to a wall, used for displaying decorative items",Cottagecore,Cosy & Inviting,medium,"brown, white","brown, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_41.jpg
42,"My Dream Carts Mdf Wooden Cutting Ganesha Key Holder For Home,Office,Hall,Living Room Wood Key Holder",131,image_42.jpg,hall_room,Keyholder,A wooden board with hooks for hanging keys,Traditional,Cosy & Inviting,medium,"brown, silver","brown, silver, wood",,https://github.com/sawantyash07/hall_room/blob/main/image_42.jpg
43,D Unique Home Decor Wood Key Holder,248,image_43.jpg,hall_room,Rack,a decorative wall-mounted rack with hooks,Cottagecore,Cosy & Inviting,medium,"black, brown","black, brown, beige",,https://github.com/sawantyash07/hall_room/blob/main/image_43.jpg
44,Ferrari Car Split Posters Set of 3 9x12 Inch Wall Art for Desk Home Office wall decoration home bedroom living room hall Gift Wall Paintings Stickers wallpaper Hostel Boys Girls. Paper Print,200,image_44.jpg,hall_room,Car,A high-performance racing vehicle,Modern,Luxurious & Opulent,luxury,"red, black","red, black, white",,https://github.com/sawantyash07/hall_room/blob/main/image_44.jpg
