id,Product Name,price,Filename,Category,Primary Object,Object Definition,Aesthetic Style,Mood & Feel,Price Tier,Dominant Colors,Color Palette,,link
1,CROKDOX KITCHENWARE Plastic Cookie Jar  - 1100 ml,386,image_1.jpg,ketchen,Containers,Clear plastic storage containers with purple lids for storing food,Modern,Cosy & Inviting,medium,"clear, purple","clear, purple, brown, yellow, green, red",,https://github.com/sawantyash07/kitchenware/blob/main/image_1.jpg
2,CROKDOX KITCHENWARE Plastic Cookie Jar  - 1100 ml,423,image_2.jpg,ketchen,Containers,clear plastic containers with blue lids for storing food or spices,Modern,Serene & Calm,medium,"blue, clear","blue, clear, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_2.jpg
3,BERTOL KITCHENWARE BERTOL KITCHENWARE Bowl Serving Set,416,image_3.jpg,ketchen,Dish,A type of kitchenware used for serving or storing food,Modern,Sleek & Modern,medium,"silver, white","silver, white, gray",,https://github.com/sawantyash07/kitchenware/blob/main/image_3.jpg
4,plizzo kitchenware Rectangular Classy 3 Section With 1 Spoon & 1 Fork Premium Quality Lunch Box 3 Containers Polypropylene School Lunch Box,117,image_4.jpg,ketchen,Lunchbox,A portable container used for storing and carrying food,Modern,Cosy & Inviting,medium,"green, grey","green, grey, transparent",,https://github.com/sawantyash07/kitchenware/blob/main/image_4.jpg
5,queen's kitchenware Tumbler Glass with Straw - 1 Pcs Multi-Purpose Stainless Steel Stainless Steel Tumbler,281,image_5.jpg,ketchen,Tumbler,A reusable metal cup,Modern,Cosy & Inviting,medium,"silver, teal","silver, teal, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_5.jpg
6,"G-PET Plastic Grocery Container  - 2000 ml, 1000 ml, 750 ml, 200 ml, 100 ml",807,image_6.jpg,ketchen,Jars,Kitchen storage containers,Modern,Cosy & Inviting,medium,"clear, silver","clear, silver, brown, green, tan",,https://github.com/sawantyash07/kitchenware/blob/main/image_6.jpg
7,RV kitchenware Premium quality cheese grater Vegetable & Fruit Grater,115,image_7.jpg,ketchen,Grater,A kitchen tool used to grate food,Modern,Cosy & Inviting,cheap,"red, white","red, silver, white, transparent",,https://github.com/sawantyash07/kitchenware/blob/main/image_7.jpg
8,"Malti Kitchenware Stainless Steel Grocery Container  - 600 ml, 500 ml, 400 ml",359,image_8.jpg,ketchen,Container,a kitchen storage container,Modern,Sleek & Modern,medium,"silver, red","silver, red, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_8.jpg
9,FORTUNA KITCHENWARE Milk Boiler|Pot with Lid|Cooker with Whistle Pot 17 cm diameter 2 L capacity with Lid,463,image_9.jpg,ketchen,Pot,A kitchen cooking vessel,Modern,Sleek & Modern,medium,"Silver, Black","Silver, Black, Green, Yellow",,https://github.com/sawantyash07/kitchenware/blob/main/image_9.jpg
10,National Kitchenware oil brush silicon Flat Pastry Brush,107,image_10.jpg,ketchen,Brush,a kitchen tool used for applying sauces or melted butter to food,Modern,Cosy & Inviting,cheap,"red, green","red, green, blue, pink, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_10.jpg
11,GRACIOUS MART Glass Pickle Jar  - 1499 ml,1416,image_11.jpg,ketchen,Jar,"a glass container with a lid and clasp, used for storing food",Traditional,Cosy & Inviting,medium,"yellow, clear","yellow, clear, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_11.jpg
12,Analog Kitchenware 1000 ML 5 Blade SS Blade Hand Press Fruit & Vegetable Chopper Vegetable & Fruit Chopper,198,image_12.jpg,ketchen,Chopper,"A kitchen appliance used for chopping, mincing, or pureeing food.",Modern,Cosy & Inviting,medium,"green, clear","green, clear, red, gray",,https://github.com/sawantyash07/kitchenware/blob/main/image_12.jpg
13,Network Kitchenware 500 ml Cooking Oil Dispenser,112,image_13.jpg,ketchen,Bottle,"A container for storing and dispensing liquids, typically used for oils or other viscous fluids.",Review Required (Rustic & Warm),Natural & Organic,medium,"golden, black","golden, black, green",,https://github.com/sawantyash07/kitchenware/blob/main/image_13.jpg
14,Kombuis Kitchenware Utensil Kitchen Rack Steel Multipurpose Storage Wall Mounted Kitchen Rack Steel Bathroom Shelves,360,image_14.jpg,ketchen,Rack,A metal rack with multiple shelves for storage,Modern,Sleek & Modern,medium,"Silver, Gray","Silver, Gray, White",,https://github.com/sawantyash07/kitchenware/blob/main/image_14.jpg
15,Kombuis Kitchenware Containers Kitchen Rack Steel,378,image_15.jpg,ketchen,Rack,A storage rack for organizing spices and kitchen essentials,Modern,Cosy & Inviting,medium,"Black, White","Black, White, Grey",,https://github.com/sawantyash07/kitchenware/blob/main/image_15.jpg
16,CROKDOX KITCHENWARE Plastic Cookie Jar  - 500 ml,492,image_16.jpg,ketchen,Containers,"A set of small, clear plastic containers with blue lids used for storing food",Modern,Cosy & Inviting,medium,"blue, clear","blue, clear, brown, yellow, red",,https://github.com/sawantyash07/kitchenware/blob/main/image_16.jpg
17,Kombuis Kitchenware Containers Kitchen Rack Steel,370,image_17.jpg,ketchen,Rack,A metal storage rack with multiple shelves,Industrial,Sleek & Modern,medium,"Silver, Gray","Silver, Gray, White",,https://github.com/sawantyash07/kitchenware/blob/main/image_17.jpg
18,PIQUANT KITCHENWARE Steel Tea Coffee & Sugar Container  - 1500 ml,403,image_18.jpg,ketchen,Jar,"a container with a lid, often used for storing small items",Modern,Sleek & Modern,medium,"silver, white","silver, white, transparent",,https://github.com/sawantyash07/kitchenware/blob/main/image_18.jpg
19,Kombuis Kitchenware Containers Kitchen Rack Steel Corner Storage Rack for kitchen multipurpose and Bathroom use,644,image_19.jpg,ketchen,Shelves,A corner shelving unit for bathroom storage,Modern,Serene & Calm,medium,"Silver, White","Silver, White, Red",,https://github.com/sawantyash07/kitchenware/blob/main/image_19.jpg
20,"Kombuis Kitchenware Chakla/Belan Kitchen Rack Steel Stainless Steel 3-Tier Storage Shelf Rack, Dish Rack",248,image_20.jpg,ketchen,Rack,A kitchen dish rack for organizing and drying dishes,Modern,Cosy & Inviting,medium,"Silver, White","Silver, Red, White",,https://github.com/sawantyash07/kitchenware/blob/main/image_20.jpg
21,Kombuis Kitchenware Utensil Kitchen Rack Iron,398,image_21.jpg,ketchen,Rack,"A kitchen storage rack for spices, pasta, and other cooking supplies",Modern,Cosy & Inviting,medium,"black, gray","black, gray, brown",,https://github.com/sawantyash07/kitchenware/blob/main/image_21.jpg
22,OGGN Set of 7 Wooden Spatula Kitchen Tool Set,156,image_22.jpg,ketchen,Spatula,"a kitchen utensil with a flat, wide blade and a long handle, used for scraping, lifting, and turning food",Traditional,Cosy & Inviting,medium,"brown, wooden","brown, wooden, tan",,https://github.com/sawantyash07/kitchenware/blob/main/image_22.jpg
23,Network Kitchenware 500 ml Cooking Oil Dispenser,183,image_23.jpg,ketchen,Bottle,A container made of glass or plastic used for storing liquids,Modern,Serene & Calm,medium,"yellow, clear","yellow, clear, black",,https://github.com/sawantyash07/kitchenware/blob/main/image_23.jpg
24,KPL Kitchenware Utensil Kitchen Rack Steel,280,image_24.jpg,ketchen,Rack,A multi-tiered storage rack for kitchen items,Modern,Cosy & Inviting,medium,"silver, white","silver, white, brown",,https://github.com/sawantyash07/kitchenware/blob/main/image_24.jpg
25,Kombuis Kitchenware Chakla/Belan Kitchen Rack Steel kitchen Rack Utensils,494,image_25.jpg,ketchen,Rack,A kitchen storage rack,Modern,Cosy & Inviting,medium,"silver, white","silver, white, black",,https://github.com/sawantyash07/kitchenware/blob/main/image_25.jpg
26,"Aadya Kitchenware Aadya Kitchenware™ 3 Blade 450ML Quick Handy Chopper for Smart Kitchen, 450ML Vegetable & Fruit Chopper",249,image_26.jpg,ketchen,Chopper,A kitchen device used for chopping food,Modern,Cosy & Inviting,cheap,"teal, black","teal, black, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_26.jpg
27,"Snowberry Plastic Grocery Container  - 1200 ml, 650 ml, 350 ml, 250 ml",494,image_27.jpg,ketchen,Jars,a set of containers made of glass or plastic used for storing food or other household items,Modern,Cosy & Inviting,medium,"silver, brown","silver, brown, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_27.jpg
28,"RK EMPIRE Plastic Grocery Container  - 1200 ml, 650 ml, 350 ml, 250 ml",498,image_28.jpg,ketchen,Jars,containers for storing food or spices,Modern,Cosy & Inviting,medium,"silver, brown","silver, brown, orange, green, yellow",,https://github.com/sawantyash07/kitchenware/blob/main/image_28.jpg
29,CROKDOX KITCHENWARE Plastic Cookie Jar  - 500 ml,363,image_29.jpg,ketchen,Jars,small containers for storing food,Modern,Serene & Calm,cheap,"clear, black","clear, black, brown, red, yellow, green",,https://github.com/sawantyash07/kitchenware/blob/main/image_29.jpg
30,"CAPitAL KITCHENWARE Stainless Steel Onion, Chilly, Dry Fruit Vegetable Cutter Chopper Vegetable & Fruit Chopper",280,image_30.jpg,ketchen,Grinder,A device used to crush or pulverize materials into smaller particles,Industrial,Rustic & Warm,medium,"red, silver","red, silver, black",,https://github.com/sawantyash07/kitchenware/blob/main/image_30.jpg
31,PIQUANT KITCHENWARE Steel Grocery Container  - 1500 ml,403,image_31.jpg,ketchen,Grinder,A device used to grind herbs or spices,Modern,Sleek & Modern,medium,"silver, gray","silver, gray, black",,https://github.com/sawantyash07/kitchenware/blob/main/image_31.jpg
32,RJ kitchenware Store Plastic Utility Container  - 3 L,300,image_32.jpg,ketchen,Bucket,a container made of metal,Industrial,Rustic & Warm,medium,"silver, gray","silver, gray, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_32.jpg
33,Rajshree Kitchenware no 1 Carrot Grater,266,image_33.jpg,ketchen,Grater,A kitchen tool used for grating or shredding food,Industrial,Cosy & Inviting,medium,"silver, black","silver, black, yellow",,https://github.com/sawantyash07/kitchenware/blob/main/image_33.jpg
34,"Kombuis Kitchenware Containers Kitchen Rack Steel 3 Layer Black Multipurpose Storage Rack/Shelf, Kitchen Rack",581,image_34.jpg,ketchen,Rack,A storage rack for kitchen items,Modern,Cosy & Inviting,medium,"black, white","black, white, red",,https://github.com/sawantyash07/kitchenware/blob/main/image_34.jpg
35,Analog Kitchenware Apple Slicer And Corer / Apple Cutter Kitchen Tool Set,140,image_35.jpg,ketchen,Slicer,An apple slicer is a kitchen tool used to cut apples into equal pieces,Modern,Cosy & Inviting,cheap,"silver, orange","silver, orange, brown",,https://github.com/sawantyash07/kitchenware/blob/main/image_35.jpg
36,Kombuis Kitchenware Chakla/Belan Kitchen Rack Steel kitchen Rack Utensils,186,image_36.jpg,ketchen,Rack,A kitchen storage rack,Modern,Serene & Calm,medium,"silver, wood","silver, wood, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_36.jpg
37,Network Kitchenware Plastic Fridge Container  - 1000 ml,162,image_37.jpg,ketchen,Tray,a plastic tray used for making ice cubes or popsicles,Modern,Cosy & Inviting,cheap,"white, yellow","white, yellow, clear",,https://github.com/sawantyash07/kitchenware/blob/main/image_37.jpg
38,Kombuis Kitchenware Containers Kitchen Rack Steel,276,image_38.jpg,ketchen,Shelf,A wall-mounted storage shelf,Modern,Serene & Calm,medium,"silver, white","silver, white, brown",,https://github.com/sawantyash07/kitchenware/blob/main/image_38.jpg
39,Kombuis Kitchenware Spice Set Stainless Steel,195,image_39.jpg,ketchen,Rack,A kitchen storage rack,Modern,Cosy & Inviting,medium,"Silver, White","Silver, White, Red",,https://github.com/sawantyash07/kitchenware/blob/main/image_39.jpg
40,"BERTOL KITCHENWARE Steel Utility Container  - 1000 ml, 750 ml, 500 ml, 300 ml, 200 ml",339,image_40.jpg,ketchen,Bowls,stainless steel bowls with lids,Modern,Sleek & Modern,medium,"silver, white","silver, white, gray",,https://github.com/sawantyash07/kitchenware/blob/main/image_40.jpg
41,Kombuis Kitchenware Containers Kitchen Rack Steel Corner Storage Rack for kitchen multipurpose and Bathroom use,644,image_41.jpg,ketchen,Shelves,A corner shelving unit for bathroom storage,Modern,Serene & Calm,medium,"Silver, White","Silver, White, Red",,https://github.com/sawantyash07/kitchenware/blob/main/image_41.jpg
42,"RK EMPIRE Plastic Grocery Container  - 1200 ml, 650 ml, 350 ml, 250 ml",498,image_42.jpg,ketchen,Jars,containers for storing food or spices,Modern,Serene & Calm,medium,"silver, brown","silver, brown, orange, green, yellow",,https://github.com/sawantyash07/kitchenware/blob/main/image_42.jpg
43,"G-PET Plastic Grocery Container  - 2000 ml, 1000 ml, 750 ml, 200 ml, 100 ml",807,image_43.jpg,ketchen,Jars,containers for storing food,Modern,Serene & Calm,medium,"clear, silver","clear, silver, brown, green, yellow",,https://github.com/sawantyash07/kitchenware/blob/main/image_43.jpg
44,RV kitchenware Premium quality cheese grater Vegetable & Fruit Grater,115,image_44.jpg,ketchen,Grater,A kitchen tool used for grating food,Modern,Cosy & Inviting,cheap,"red, silver","red, silver, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_44.jpg
45,FORTUNA KITCHENWARE Milk Boiler|Pot with Lid|Cooker with Whistle Pot 17 cm diameter 2 L capacity with Lid,463,image_45.jpg,ketchen,Pot,A kitchen cooking vessel,Modern,Sleek & Modern,medium,"Silver, Black","Silver, Black, Green, Yellow",,https://github.com/sawantyash07/kitchenware/blob/main/image_45.jpg
